x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,y
65.1,78.8,63.5,66.7,87.1,74.11851852,61.78939394,93,65.59438202,60.5,60.89444444,70.83633721,58.41171171,60.03597561,60.92565598,60.6,60,60.8,60,79.66309524,42.11547619,72.8452381,70.67142857,55.66636364,52.63043478,77.6,72.49954338,65.76170213,46.19473684,59.7259542,52.76740331,68.21418919,56.93244048,52.9,60.1,60.9,1
34.33150685,56.98732394,52.2,47.3,66.48309859,54.03793103,67.69793814,60.38873239,53.82323944,57.06923077,49.87008547,55.43357664,60.59744898,59.66197183,60.37924528,87.5,60,60.4,59.3,72.1,66.8,63.8,60.9,66.75142857,71.01944444,89.4,70.18651685,70.03956044,59.76666667,50.29345238,73.58128342,52.74507042,63.74669261,64.5,60,60.6,0
36.1,45.81818182,61.2,59.5,60.81176471,63.552,48.57105263,68.2,60.80810811,66.40813008,60.91926606,67.2,55.1,61.65,63.28805461,64.2,60,60.5,53.9,71.8,56.49137931,53.1,69.1,68.5875,54.5625,38,69.10649351,61.042,70.35344828,73.18122977,73.12553191,42.55,62.83422819,60.67,60,60.6,0
79.7,70.44857143,36.3,62.2,59.6,64.84137931,74.77391304,69.7,71.51914894,61.57348066,71.70628931,69.23082192,55.94833333,70.00107527,63.74,65.2,60,60.7,62,51.40705882,38.1,60,58.5,44.9943662,60.81372549,81.2,65.20125,53.68962963,62.15354331,66.89766082,43.94574468,70.15,64.36979472,79.4,60,60.7,1
70.8,37.83731343,67.9,65.6,33.3,47.23561644,60.94324324,64.3,62.3091954,64.27313433,69.51238095,51.76872587,54.40220994,61.54013605,59.76529851,63.6,60,60.2,64.7,78.7,56.4,66.96164384,42.07391304,51.56344086,62.92631579,84.5,74.33142857,53.14390244,54.04848485,68.99557196,71.2,74.53821138,59.41706349,60.4,60,60.8,0
72.8,52.9,67.8,58.7,50.7,57.95384615,64.40789474,60.1,63.60892019,70.42631579,59.96666667,65.03884298,59.59328859,47,61.06219512,63.6,60,60.3,57.7,60.9,60.58518519,73.9,62.8,71.01204819,63.23888889,79.1,70.61578947,70.99011628,52.55526316,65.54782609,58.06261682,63.5,62.75738397,55.8,60,60.5,0
61.4,57.82931034,64.3,56.6,62.2,63.64477612,55.88666667,44.57272727,61.6862069,68.4345679,68.46134969,52.31701031,45.45174129,68.06783626,58.84757709,37.8,60,60.6,65,73.80689655,58.5,58.24444444,64.3,58.89166667,60.15393258,84.7,72.56881188,50.48823529,57.9,72.55076142,62.36129032,77.17711864,63.22424242,63.6,60,60.3,0
51.3,60,73.2,74.8,53.84925373,60.46956522,68.99210526,70.1,65.01973684,66.06363636,70.25363636,71.05024155,66.1130719,58.15958904,64.76343284,45.7,60.008,60.36842105,65.1,67.3,46.2,61.30243902,54.3,51.81382979,49.39264706,63.2,61.70613497,73.46511628,55.75511811,44.90860927,61.88323353,50.30859375,61.99746377,50.8,60.1,60,1
42.7,59.1,66.43291139,72.50769231,72,65.25539568,58.69318182,71.1,67.04409938,61.84797688,62.09861111,56.39904306,62.24634146,63.74861111,65.36666667,41.5,60.1,60.9,76.2,62.4,56.4,61.7,38,65.11494253,60.25070423,57.7,62.96086957,56.38961039,56.12268041,57.8648,57.32446809,58.40357143,61.48539326,64.7,60,60.6,1
62.8,55.97272727,68.6,59.4,56.1,76.23295455,53.91571429,81,66.92048193,64.925,50.70471698,45.15671642,54.1130719,55.17633588,60.23171806,63.9,60,60.5,93.8,58.38983051,78.1,88.1,62.4,73.75978261,67.45138889,75.1,70.9880597,67.5,68.67063492,54.61554054,68.34745763,60.96923077,61.35527426,56.6,60,60.1,1
78.3,57.3,68,49.26842105,60.7,57.96422018,67.18072289,78.3,69.27142857,53.61,55.98076923,58.70837989,51.17164179,74.78832117,60.46666667,63.6,60,60.5,70.7,58.6,54.2,66.4,52.8,52.00777778,76.31071429,58.46296296,71.04274194,70.71186441,65.44693878,53.09112903,74.94652406,71.35804598,63.01800948,63.9,60,60.3,0
61.4,73.67435897,57.48955224,68,61.4,45.6025,73.33731343,82.33658537,65.90472441,59.56186441,58.45918367,69.06992481,67.02827586,59.98496241,62.82180095,50.2,60,60.7,75.9,90,71.8,69.2,55.5,54.5761194,54.77586207,52.11578947,62.174375,33.8,59.54919355,64.11950207,62.06193548,65.70992366,60.65,33.3,60,60,1
66.33114754,70,69.8,63.50806452,53.5,53.1,53.7,62.1,71.47012195,71.05409836,66.00612245,58.56514523,55.76337209,65.76883117,61.83131313,62.7,60,60,55.5,61.2,50.2,62.1,56.93636364,65.28363636,71.05,85.8,68.46558442,61.042,61.40606061,72.32222222,59.44644809,59.15,61.67934783,63.9,60,60.5,0
82,66.8,77.9,78.7,69.2,70.68208955,70.21153846,79.7,75.91843972,75.44414414,73.59350649,71.51232877,67.13823529,58.45608108,61.53056995,53.9,60,60.6,38.4,60.95362319,47.7,60.4,50.7,65.33417722,66.20277778,63.45507246,58.95721649,44.9,46.91696429,57.49661836,62.15454545,49.89428571,60.84784689,62,60,60,1
54.8,84.6,45.5,39.4,62.4744186,57.65652174,62.24678899,74.9091954,67.27582418,85.80214286,55.34621212,51.92962963,64.90529412,59.25277778,62.696875,73.1,60,60.8,57.10294118,49.54054054,67.4,44.3,66.1,56.0721519,63.16415094,63.1,69.86308725,54,68.89551282,65.83901734,62.3876652,58.80765306,63.09068323,60,60,60.6,1
67.3,67.49444444,72.6,77.1,81.8,59.52278481,62.98243243,73.4,63.59452736,72.74861878,73.31391304,64.82,53.39680851,52.49214286,60.46828571,60.9,60,60.9,59.41449275,46.3,30.9,49.7,59.9,71.78409091,64.72253521,91.1,63.23924731,29.7,51.87417219,54.12131783,74.17755102,63.14739884,58.84942857,60.4,60.1,60.8,1
71.9,78,47,60.1,48.4,50.11444444,70.4119403,66.03692308,61.62202381,58.9,76.60265487,72.42303922,57.76455696,62.18897638,60.04166667,64.2,60,60.5,49.6,45.2,64.8,59.3,41.7,49.63387097,64.21176471,66.6,67.84567901,53.82290076,65.25572519,70.47301587,62.58105263,62.37591241,61.85466667,63.1,60,60.1,1
62.3,60.09836066,61.3,64.5,77.1,74.53577982,65.95972222,66.1,54.51854839,63.8887218,64.91504425,69.390625,52.61847134,54.51142857,64.2536,58.7,60,60.5,33.9,61.47301587,60.7,57.3,59.4,55.06511628,59.32857143,52.30655738,63.73469388,52.6372093,56.5775,56.23514851,58.18992806,59.3016129,56.63067729,54.9,60,60.5,1
52.2,62,66.7,43.69277108,44.3,66.10121951,54.38382353,70.26666667,62.84388889,65.08870968,69.70714286,61.396,49.79661017,65.89833333,62.60314961,63.6,60,60.5,61.3,65.5,70.8,57.7,53.4,53.1109375,64.15084746,78.2,69.18275862,76.2375,50.63194444,61.4588785,72.55388601,61.97272727,61.10894309,64.2,60,60.5,0
53.73918919,54.5,60.6,51.29459459,50,59.43809524,51.31428571,67.89864865,57.52074468,72.95241935,59.43076923,70.14147727,62.13583815,69.34180791,57.32695652,71.1,60,60,79.48153846,65.33,54.08769231,48.3,35.7,68.69032258,53.52151899,53.90923077,65.27150838,70.67697368,67.16388889,65.72628205,66.28457711,69.24596273,63.8047619,60.5,60,60.7,0
70.1,71.6,85.5,68.5,53.5,46.68446602,62.47534247,54.4,61.76984127,68.19597315,64.44615385,58.67443609,60.87,57.15086207,60.4743295,62.6,60,60,83.2,51,58.2,60.35806452,68,61.29350649,71.67466667,58.5,61.79285714,60.60666667,56.59207921,57.42702703,66.14375,64.47595628,63.08666667,65,60,60.9,0
86.4,90.16,73.3,66.6,42.23275862,62.61234568,69.03103448,76.3,61.76308725,53.24122137,53.98562092,59.15668449,66.59299363,56.21126761,61.94672897,63.6,60,60.1,81.2,75.5,67.2,67.1,68.9,56.36568627,56.44504505,62.5,62.21532847,66.34328358,56.947,49.09212598,61.28616352,71.20847458,60.525,64.2,60,60.5,0
62.7,60.8,58.5,71.5,49.82142857,54.47384615,64.17142857,73.8,64.02578616,64.06,71.98378378,60.26454183,50.87172414,48.15604396,60.66666667,62.037,60,60.3,42.6,50.5,63.2,36.64242424,45.2,64.79545455,65.86746988,81.3,72.07956204,69.97848837,59.90384615,55.31747573,73.7962963,54.8519685,61.54145455,64.8,60,60.7,0
48.34487179,63.3,59.9,70.2,65.8,48.9038835,63.75274725,70.1,67.26141304,75.34827586,64.64533333,70.70619469,68.57833333,63.81016949,55.55061728,64.8,60,60.8,43.7,55.3,72.7,62.2,68.11020408,60.64489796,48.74313725,46.51153846,58.08785047,70.46513158,56.94693878,55.25168539,58.05145631,62.29477124,74.47984496,63.9,60,60.2,1
61.9,63.6,63.4,63.2,57.44285714,50.97272727,62.91454545,40.1,54.16100629,58.82626263,56.0568,55.48695652,57.01371429,64.57058824,63.8572549,76.7,60,60.3,65.6,81.8,65.1,63.4,79.3,65.02894737,63.95507246,69.2,70.33950617,47.2,58.64022989,69.05789474,62.04303797,66.5503937,55.95650407,60.1,60,60.7,0
68.9,58.9,59.4,49.84754098,54.93770492,79.8030303,69.20952381,76.7,64.99034091,43.12043011,59.37241379,55.40244898,48.45806452,59.45882353,61.09834711,60.5,60,60.7,84.2,36.5,70.8,66.3,69.7,60.25194805,65.66184211,86.5,68.88815789,63.9943662,63.49726027,64.51607143,55.51566265,70,60.52752809,65.4,60,60.9,1
70.4,77.33943662,60.4,55.9,50.7,80.33253012,62.98615385,83.77142857,67.38679245,79.5,67.28507463,57.14448276,72.52660099,72.63023256,62.29522184,80.8,60,61,28.5,64.7,66.4,70.7,83.7,65.78018868,56.37954545,64.575,65.26626506,65.6744186,64.88230088,60.8296748,58.39212121,60.53809524,61.74433657,63.9,60,60.7,1
80.2,58.61333333,61.3,35.3,62.2,62.56593407,74.65616438,64.6,65.77807487,39.84824561,28.9,52.60604651,62.08429319,66.30434783,58.65947368,63.1,60,60.2,81.6,75.3,67.9,59.3,95.5,71.82368421,79.55454545,63.6,67.85714286,61.72777778,62.90223881,62.2627027,62.91865285,65.8173913,64.77382199,63.1,60,60.3,0
56.23389831,83.2,43.1,55.3,62.3,49.64057971,64.26071429,74.5,66.19103448,61.14956522,79.4195122,61.74473684,57.40094787,60.3,58.35361111,65.2,60,60.7,49.63863636,64.3,52,79.5,71.4,56.61857143,76.7393617,92.6,58.97669903,56.4,63.54222222,61.76741573,61.9566879,62.56666667,64.78781163,64.9,60.1,60.9,0
57.8,87.92823529,83,65.3,56.3,79.49259259,58.87622951,73.1,67.27321429,64.06,52.04516129,52.26995305,63.17972028,64.41071429,59.05441696,45,60,60.4,62.4,66.4,59.8,76.1,79.3,86.56363636,51.17142857,52.3,66.45263158,46.75714286,56.36197183,54.13314917,60.56208791,49.95460123,66.92953737,64.2,60,60.5,1
84.1,56.4,70,68.2,55.8,60.62043011,77.23768116,70.16615385,66.96257669,64.06,63.13043478,71.53585859,63.92738854,58.15820896,61.92743363,59.4,60,60.5,62.5,58.5,84.8,43.8,68.8,75.94722222,67.209375,59.5,58.76979866,61.042,58.18456376,60.05225564,54.56706587,56.87669173,58.17881356,63.2,60,60.2,1
