YEAR,WEEK,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2006,1,PIT,MIA,28,17
2006,1,CLE,NO,14,19
2006,1,DET,SEA,6,9
2006,1,TEN,NYJ,16,23
2006,1,KC,CIN,10,23
2006,1,STL,DEN,18,10
2006,1,NE,BUF,19,17
2006,1,TB,BAL,0,27
2006,1,CAR,ATL,6,20
2006,1,HOU,PHI,10,24
2006,1,GB,CHI,0,26
2006,1,ARI,SF,34,27
2006,1,JAC,DAL,24,17
2006,1,NYG,IND,21,26
2006,1,WAS,MIN,16,19
2006,1,OAK,SD,0,27
2006,2,ATL,TB,14,3
2006,2,CHI,DET,34,7
2006,2,CIN,CLE,34,17
2006,2,GB,NO,27,34
2006,2,IND,HOU,43,24
2006,2,MIA,BUF,6,16
2006,2,MIN,CAR,16,13
2006,2,PHI,NYG,24,30
2006,2,BAL,OAK,28,6
2006,2,SF,STL,20,13
2006,2,SEA,ARI,21,10
2006,2,DEN,KC,9,6
2006,2,NYJ,NE,17,24
2006,2,SD,TEN,40,7
2006,2,DAL,WAS,27,10
2006,2,JAC,PIT,9,0
2006,3,BUF,NYJ,20,28
2006,3,DET,GB,24,31
2006,3,IND,JAC,21,14
2006,3,MIA,TEN,13,10
2006,3,MIN,CHI,16,19
2006,3,PIT,CIN,20,28
2006,3,TB,CAR,24,26
2006,3,HOU,WAS,15,31
2006,3,CLE,BAL,14,15
2006,3,ARI,STL,14,16
2006,3,SF,PHI,24,38
2006,3,SEA,NYG,42,30
2006,3,NE,DEN,7,17
2006,3,NO,ATL,23,3
2006,4,ATL,ARI,32,10
2006,4,BUF,MIN,17,12
2006,4,TEN,DAL,14,45
2006,4,KC,SF,41,0
2006,4,NYJ,IND,28,31
2006,4,CAR,NO,21,18
2006,4,BAL,SD,16,13
2006,4,HOU,MIA,17,15
2006,4,STL,DET,41,34
2006,4,CIN,NE,13,38
2006,4,OAK,CLE,21,24
2006,4,WAS,JAC,36,30
2006,4,CHI,SEA,37,6
2006,4,PHI,GB,31,9
2006,5,CHI,BUF,40,7
2006,5,GB,STL,20,23
2006,5,IND,TEN,14,13
2006,5,MIN,DET,26,17
2006,5,NE,MIA,20,10
2006,5,NO,TB,24,21
2006,5,NYG,WAS,19,3
2006,5,CAR,CLE,20,12
2006,5,ARI,KC,20,23
2006,5,SF,OAK,34,20
2006,5,JAC,NYJ,41,0
2006,5,PHI,DAL,38,24
