YEAR,WEEK,TEAM,LG,LT,C,RT,RG,TE,HB,QB,WR,DE,DT,LB,CB,S,ST,LS,K,P
2008,1,ARI,66.1,62.2,54.6,78.8,39.0,57.24831460674158,55.65959595959596,65.4,70.17796610169492,76.64081632653063,62.6,59.256209150326804,68.56792452830189,63.18269230769231,0.0,0.0,0.0,0.0
2008,1,ATL,63.5,72.7,73.0,63.47543859649122,79.4,86.78275862068966,79.4125,67.4,74.0919642857143,63.556643356643356,67.2078431372549,52.16178343949044,54.31666666666666,63.400000000000006,0.0,0.0,0.0,0.0
2008,1,BAL,54.5,71.5,66.6,72.5,74.4,56.31020408163266,63.36764705882353,64.0,67.65319148936172,75.13669724770642,59.99014084507043,86.71059602649007,60.9015625,70.66129032258064,0.0,0.0,0.0,0.0
2008,1,BUF,76.8,74.6,52.6,65.3,52.5,81.74084507042254,49.58651685393258,75.7,67.10275862068967,66.79929577464789,80.5223880597015,77.89403973509934,76.81237113402062,68.65,0.0,0.0,0.0,0.0
2008,1,CAR,77.66486486486487,81.8,72.0,75.95068493150684,92.5,70.81481481481481,64.01287128712872,62.3,63.17354838709679,51.707751937984504,63.127450980392155,60.18633540372671,68.0353846153846,65.0,0.0,0.0,0.0,0.0
2008,1,CHI,74.7,42.4,76.1,70.3,79.7,87.103,65.01632653061225,62.8,60.041803278688526,72.068115942029,69.05289855072463,62.59236111111112,66.56119402985074,59.0,0.0,0.0,0.0,0.0
2008,1,CIN,55.1,56.0,69.5,58.135185185185186,86.5,53.06410256410256,37.31311475409836,37.4,56.71840000000001,54.93653846153846,60.50551724137931,59.35141509433962,74.40920245398773,54.457046979865765,0.0,0.0,0.0,0.0
2008,1,CLE,63.5,57.5,67.4,64.6,62.0,63.064788732394355,61.51470588235294,55.5,46.731249999999996,57.478181818181824,61.60361445783133,47.533812949640286,57.78163265306122,46.07234042553191,0.0,0.0,0.0,0.0
2008,1,DAL,70.5,58.9,67.7,61.3,78.4,79.2551724137931,53.865624999999994,83.4,75.90902255639098,60.48125,64.17169811320754,68.94585635359115,59.068644067796605,66.44117647058823,0.0,0.0,0.0,0.0
2008,1,DEN,73.8,68.2,64.9,81.9,68.4,67.20114942528735,55.299019607843135,85.8,72.6198275862069,57.23813559322034,49.547413793103445,64.07771084337351,60.073076923076925,65.81344537815126,0.0,0.0,0.0,0.0
2008,1,DET,74.0,80.2,54.4,46.8,43.0,53.97,71.07790697674419,60.6,68.03292682926829,40.41517857142857,57.30178571428571,44.08533333333333,51.641406249999996,53.73982300884955,0.0,0.0,0.0,0.0
2008,1,GB,62.7,51.7,85.7,59.7,55.4,62.08571428571429,55.089285714285715,88.3,67.87142857142857,51.90213903743316,59.738461538461536,59.550259067357516,62.59189189189189,59.91688311688312,0.0,0.0,0.0,0.0
2008,1,HOU,57.73650793650794,49.31428571428572,73.0,79.7,60.2,59.93194444444445,58.36385542168676,41.8,57.95,63.12396694214876,50.866386554621855,61.129629629629626,53.723188405797096,53.9,0.0,0.0,0.0,0.0
2008,1,IND,51.9,91.8,52.4,56.2,55.4,61.00238095238096,61.77714285714285,72.5,65.78115183246074,63.84551724137931,45.86521739130435,63.220710059171594,65.13862068965518,57.14923076923077,0.0,0.0,0.0,0.0
2008,1,JAC,47.78701298701299,65.8,57.7,63.7,72.5,57.69733333333333,64.0797619047619,50.0,61.85479452054794,61.73863636363637,58.300869565217376,53.88402366863905,49.67933884297521,69.68955223880597,0.0,0.0,0.0,0.0
