YEAR,WEEK,TEAM,LG,LT,C,RT,RG,TE,HB,QB,WR,DE,DT,LB,CB,S,ST,LS,K,P
2022,1,ARI,30.34657534,69.7,50.6,69.89692308,65.61230769,60.49827586,63.75362319,59.22153846,62.67171717,55.2,56.58655462,45.79934426,52.30816327,53.49642857,62.12007168,63.6,60,60
2022,1,ATL,62.6,67.10526316,61.3,68.2,79.4,58.95526316,61.13867925,58.9,61.67857143,54.28,67.84021739,60.08785425,55.87453416,65.62892562,62.39588608,45.3,60,60.9
2022,1,BAL,43.8,62.44285714,60.6,64.3,71.9,57.71538462,60.62643678,77,63.10098039,50.5,81.99863946,58.42986111,57.69831933,69,59.81604478,41.6,60,60.6
2022,1,BUF,50.50847458,72.2,65.5,56.2,51.5,52.56666667,56.21153846,91.5,69.62980132,75.72887324,66.04505495,73.12662722,62.7039801,64.75074627,62.47978723,63,60,60.4
2022,1,CAR,68.9,41.2,69.1,57.4,64,52.68769231,73.4509434,47,63.07823129,58.49121622,62.1943662,48.37671233,58.0259434,63.11194969,63.73569231,64.5,60,60.5
2022,1,CHI,57.6,58.4,60.1,75.3,72.3137931,58.01931818,50.91857143,44.2,63.24166667,53.18630137,37.0832,40.89072848,67.93650794,69.62919708,64.06008772,45,60,60.6
2022,1,CIN,54.2,62.47524752,68,58.6,69.3,60.60188679,62.75959596,53.7,62.29795918,67.62608696,71.29593496,77.7647541,69.49771429,66.03851852,62.14924471,52.3,60,60.4
2022,1,CLE,59,52.36483516,55.8,76,85.9,54.58157895,73.19655172,46.9,59.70691489,79.56517857,59.91020408,66.76486486,62.3611465,55.98380952,61.93867925,64.8,60.1,60.7
2022,1,DAL,49.84637681,62.5,68,58.9,67.2,60.27682927,63.76153846,41.85217391,59.02324324,64.38157895,66.48543689,72.54466667,53.66781609,60.1106383,63.7875502,63.6,60,60
2022,1,DEN,61.7,58.5,66.1,66.8,61.52727273,52.82195122,66.28205128,54,62.70058824,55.48295455,63.89558824,75.1928934,63.78455882,59.00431034,58.05797872,63.5,60,60.4
2022,1,DET,67.6,54.43108108,48,79.8,25.9,65.9505618,73.73333333,49.5,60.27692308,51.52362637,54.82954545,53.32168675,59.86818182,66.32857143,59.31955128,64.5,60,60.6
2022,1,GB,45.43606557,70.9,55.7,59.9,44.4,60.956,72.23823529,59.72295082,57.59135802,45.9,62.74869565,64.37322176,64.15060241,29,57.81541667,52.7,60,60
2022,1,HOU,56.91428571,82.4,44.6,68.36,66.8,57.41,54.82325581,68.02571429,63.52830189,67.72474227,51.22011494,52.43495146,62.52598425,61.45,65.46226415,61.5,60,60.7
2022,1,IND,81.8,66.38333333,68.8,57.6,57,56.68807339,68.27083333,58.9,65.00079681,59.3863354,68.69487179,63.27977528,58.37701149,49.25,61.32043344,64.5,60,60.7
2022,1,JAC,48.8,64.43661972,44.2,65.58571429,54,56.64886364,63.3260274,56.3,69.84574468,50.8,59.79014085,60.66095238,59.86811594,46.25,60.89620253,48.4,60,60.5
2022,1,KC,79,66.82857143,75.9,77.55,65.97142857,82.8254717,62.68481013,73.18571429,62.54848485,58.47635135,69.24642857,60.2736,74.30466321,69.00510949,58.74322344,64.6,60,60.8
2022,1,LV,56.7,59,68.8,62.71724138,76.47068966,63.9880597,60.41363636,41.5,67.18726115,79.2137931,52.36569343,45.51407407,71.36309524,55.38431373,59.95650407,57.5,60,60.1
2022,1,LAC,61.5,78.33142857,62,53,55.1,50.8,63.52804878,79.8,60.77317073,0,54.20081967,75.05483871,55.02839506,69.09705882,63.52033898,64.5,60,60.6
2022,1,LAR,39.4,59,67.6,64.7,67.9,57.8238806,54.02985075,64.7,63.80646766,69.24494382,52.92173913,59.5035,63.42207792,73.22619048,57.35388601,82.5,60,60.1
2022,1,MIA,31.23809524,72.2,82.3,52.45254237,71.8,59.33026316,60.36823529,53.3,67.30935252,74.97926829,60.31411765,48.44308511,51.51319444,68.81034483,60.33423913,27,60,60.5
2022,1,MIN,72,62.4,59.5,80.27301587,79.3,51.37763158,70.61578947,82.8,68.18544304,0,73.83923077,64.39516129,61.15321637,80.45,61.56216216,64.7,60,60.7
2022,1,NE,64.07142857,65.7,55.9,71.25714286,68.9,62.24756098,64.91785714,66.2,62.00985915,90.2,56.69298246,56.34021164,50.2877551,68.913125,63.43484848,57,60,60
2022,1,NO,50.5,75.7,72.1,77.2,46.3,60.81744186,53.38636364,79.6,71.23333333,57.384,51.06737589,66.76969697,59.05,62.90091324,60.53919753,64.5,60,60.6
2022,1,NYG,43.75322581,79.26825397,49.4,40.1,51.3,61.26031746,72.75714286,57.4,59.76494253,71.2,57.8,52.07729084,65.21137725,61.72727273,60.56376812,26.8,60,60.1
2022,1,NYJ,38.6,60.1,57.6,48.9,76.2,42.33454545,59.57045455,67.7,64.06711712,59.80946746,79.56,56.32638889,79.88220339,40.35230769,62.98021978,80.6,60,60.5
2022,1,PHI,60.8,59.8,73.4,66.1,60.8,57.63846154,71.22133333,76.8,63.60918367,71.48907563,58.59772727,63.60168539,63.73697917,49.12608696,62.48645161,64.5,60,60.7
2022,1,PIT,56.4,68.44153846,55.22380952,70.1,64.8,71.78815789,54.13333333,62,60.95263158,0,66.20728155,68.38256131,67.34349315,73.87234043,63.32268371,53.5,60,60.9
2022,1,SF,67.1,71.2,51.2,71.4,71.5,63.80133333,55.82073171,53.7,60.06393443,55.83414634,51.6412844,58.65675676,57.86197183,85.38103448,59.96282051,42.9,60,60.2
2022,1,SEA,47.1,52.4,46.9,71.6,71.5,71.95568182,54.92295082,84.3,58.87063492,52.35285714,55.188,59.47615385,59.32540541,57.49191176,64.05989583,57.5,60,60.1
2022,1,TB,49.6,70.51129032,67.6,79,54.9,56.69318182,58.271875,70,68.57848101,0,55.08666667,67.13043478,71.96666667,59.03809524,57.95172414,56.2,60,60.9
2022,1,TEN,64.6,66.87538462,60.4,65.5,83.9,52.3,67.64415584,81.1,63.04379085,43.30357143,80.94150943,62.11633663,66.81314286,64.58461538,64.25396226,65,60,60.7
2022,1,WAS,53.6,73.52435897,48.7,74.1,56.675,61.77021277,70.69259259,67.6,66.51961722,56.17304965,69.21056338,53.10740741,45.82380952,72.69084507,63.54453441,63.2,60,60
